Borrower Name,Lender Name / Role,Sector,RIC,Tranche Type,Issue Date,Maturity Date,Discounted Spread,Tranche Amount (USD),Tranche Amount,Tranche Currency,Market Segment,Region,Market of Issue,Domicile,Specific Purpose,Base Rate / Margin,Seniority,Secured,Tenor,Tranche CUSIP,Ticker,SIC,NAIC,Contributed Pricing Source,LIN,Sponsored,Price (Ask),Price (Bid),Price (Mid),Pricing Source,Yield (to 3 yrs)
FRC GENESIS FUND HOLDINGS LLC,"East West Bank:Syndication agent, Veritex Community Bank:Admin agent",Business Support Services (NEC),,Revolver/Line >= 1 Yr.,25-08-21,25-08-26,--,"70,000,000","70,000,000",US Dollar,"M&A, Non Investment Grade",North America,United States,United States,Acquisition,,Senior,,60,,FCGNE,"Finance, Insurance and Real Estate\Real Estate\Real Estate Operators (Except Developers) and Lessors\Operators of Nonresidential Buildings",All Other Business Support Services,,,No,--,--,--,,--
JAPAN LOGISTICS FUND INC,Norinchukin Bank:Sole lender,Industrial REITs,,Revolver/Term Loan,27-08-21,27-08-29,--,"6,462,453","1,000,000,000",Japanese Yen,"Green Loan, Sustainable Finance Loans",Asia,Japan,Japan,General Purpose,,Senior,,96,,JPLOF,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Miscellaneous Investing\Real Estate Investment Trusts",Lessors of Other Real Estate Property,,,No,--,--,--,,--
JAPAN LOGISTICS FUND INC,Shinkin Central Bank:Sole lender,Industrial REITs,,Revolver/Term Loan,27-08-21,27-08-25,--,"6,462,453","1,000,000,000",Japanese Yen,,Asia,Japan,Japan,General Purpose,,Senior,,48,,JPLOF,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Miscellaneous Investing\Real Estate Investment Trusts",Lessors of Other Real Estate Property,,,No,--,--,--,,--
BENTLEY INVESTMENT CO LTD,"Bank of Montreal:Participant, HSBC Bank Canada:Participant, National Bank of Canada:Participant, Royal Bank of Canada:Participant, Toronto-Dominion Bank:Admin agent",Investment Management & Fund Operators (NEC),,Revolver/Line >= 1 Yr.,27-08-21,27-08-26,--,"143,061,516","200,000,000",Canadian Dollar,M&A,North America,Canada,Canada,Acquisition,,Senior,Yes,60,,BNTYN,"Finance, Insurance and Real Estate\Security and Commodity Brokers, Dealers, Exchanges, and Services\Security Brokers, Dealers, and Flotation Companies\Security Brokers, Dealers, and Flotation Companies",Miscellaneous Intermediation,,,No,--,--,--,,--
JAPAN LOGISTICS FUND INC,Nippon Life Insurance Co:Sole lender,Industrial REITs,,Revolver/Term Loan,27-08-21,27-01-27,--,"12,924,906","2,000,000,000",Japanese Yen,"Green Loan, Sustainable Finance Loans",Asia,Japan,Japan,General Purpose,Fixed Rate + 32,Senior,,65,,JPLOF,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Miscellaneous Investing\Real Estate Investment Trusts",Lessors of Other Real Estate Property,,,No,--,--,--,,--
SDL II FINANCE 1 LP,"Bank of America NA:Admin agent, Barclays:Participant, Canadian Imperial Bank of Commerce:Participant, Sumitomo Mitsui Banking Corp:Arranger",Corporate Financial Services (NEC),,Revolver/Line >= 1 Yr.,27-08-21,27-08-26,--,"1,168,800,000","1,168,800,000",US Dollar,"Leveraged, Non Investment Grade",North America,United States,Cayman Islands,General Purpose,LIBOR + 190,Senior,,60,G7739EAB1,SDLFA,"Finance, Insurance and Real Estate\Nondepository Credit Institutions\Business Credit Institutions\Miscellaneous Business Credit Institutions",Other Financial Vehicles,,,No,--,--,--,,--
NETWORK FINANCE COMPANY PTY LTD,,Corporate Financial Services (NEC),,Revolver/Line >= 1 Yr.,27-08-21,,--,"48,757,655","75,000,000",Australian Dollar,,Asia,Australia,Australia,Capital expenditure,,Senior,,--,,NETKW,"Finance, Insurance and Real Estate\Security and Commodity Brokers, Dealers, Exchanges, and Services\Security and Commodity Exchanges\Security and Commodity Exchanges",Other Financial Vehicles,,,No,--,--,--,,--
SDL II FINANCE 2 LP,"Bank of America NA:Admin agent, Barclays:Participant, Canadian Imperial Bank of Commerce:Participant, Sumitomo Mitsui Banking Corp:Arranger",Corporate Financial Services (NEC),,Revolver/Line >= 1 Yr.,27-08-21,27-08-26,--,"206,300,000","206,300,000",US Dollar,"Leveraged, Non Investment Grade",North America,United States,Cayman Islands,General Purpose,LIBOR + 190,Senior,,60,G7739GAB6,SDBFB,"Finance, Insurance and Real Estate\Nondepository Credit Institutions\Business Credit Institutions\Miscellaneous Business Credit Institutions",Other Financial Vehicles,,,No,--,--,--,,--
MIDCAP FUNDING IV TRUST,"Atlantic Union Bank:Participant, CIT Bank Ltd:Participant, Canadian Imperial Bank of Commerce:Participant, Capital One Bank:Arranger, Citizens Financial Group:Arranger, City National Bank:Participant, DZ Bank AG:Arranger, Fifth Third Bank:Participant, HomeStreet Bank:Participant, Huntington Bank:Participant, ING Bank:Participant, Jackson National Life Funding LLC:Participant, Keybank NA:Participant, Pacific Premier Bank:Participant, People's United Bank:Participant, Regions Bank:Participant, SMBC:Arranger, Santander Bank NA:Participant, Signature Bank:Participant, Truist Financial:Participant, Webster Bank NA:Participant, Wells Fargo & Co:Admin agent",Corporate Financial Services (NEC),,Revolver/Line >= 1 Yr.,31-08-21,31-08-26,--,"1,500,000,000","1,500,000,000",US Dollar,"Sponsored, Leveraged, Non Investment Grade",North America,United States,United States,General Purpose,LIBOR + 200,Senior,,60,,MDCAFD,"Finance, Insurance and Real Estate\Security and Commodity Brokers, Dealers, Exchanges, and Services\Security Brokers, Dealers, and Flotation Companies\Security Brokers, Dealers, and Flotation Companies",Other Financial Vehicles,,,Yes,--,--,--,,--
EVIDIA HOLDING GMBH,"Bridgepoint Capital Ltd:Co-manager, Deutsche Apotheker-und Arztebank:Co-manager, Goldman Sachs & Co:Co-manager, Skandinaviska Enskilda Banken AB [SEB]:Co-manager",Investment Management & Fund Operators (NEC),,Revolver/Term Loan,31-08-21,,--,"54,168,359","52,000,000",Euro,"M&A, Investment Grade",EMEA,Germany,Germany,Acquisition,,Senior,,--,,EVDHG,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Investment Offices\Management Investment Offices, Open- End",Miscellaneous Intermediation,,,No,--,--,--,,--
EVIDIA HOLDING GMBH,"Bridgepoint Capital Ltd:Co-manager, Deutsche Apotheker-und Arztebank:Co-manager, Goldman Sachs & Co:Co-manager, Skandinaviska Enskilda Banken AB [SEB]:Co-manager",Investment Management & Fund Operators (NEC),,Term Loan B,31-08-21,,--,"312,509,766","300,000,000",Euro,"M&A, Institutional, Investment Grade",EMEA,Germany,Germany,Acquisition,,Senior,Yes,--,,EVDHG,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Investment Offices\Management Investment Offices, Open- End",Miscellaneous Intermediation,,,No,--,--,--,,--
EVIDIA HOLDING GMBH,"Bridgepoint Capital Ltd:Co-manager, Deutsche Apotheker-und Arztebank:Co-manager, Goldman Sachs & Co:Co-manager, Skandinaviska Enskilda Banken AB [SEB]:Co-manager",Investment Management & Fund Operators (NEC),,Term Loan,31-08-21,,--,"156,254,883","150,000,000",Euro,"M&A, Investment Grade",EMEA,Germany,Germany,Acquisition,,Senior,,--,,EVDHG,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Investment Offices\Management Investment Offices, Open- End",Miscellaneous Intermediation,,,No,--,--,--,,--
PLENARY HEALTH FINANCE CO PTY LTD,"Australia & New Zealand Banking Group Ltd [ANZ]:Mandated Lead arranger, Commonwealth Bank of Australia:Mandated Lead arranger, Intesa Sanpaolo SpA [ISP]:Mandated Lead arranger",Corporate Financial Services (NEC),,Term Loan,01-09-21,31-12-27,--,"19,039,885","29,287,532",Australian Dollar,Project Finance,Asia,Australia,Australia,Project Finance,,Senior,,75,,PLYHF,"Manufacturing\Chemicals and Allied Products\Drugs\Biological Products, Except Diagnostic Substances",Other Financial Vehicles,,,No,--,--,--,,--
PLENARY HEALTH FINANCE CO PTY LTD,"Australia & New Zealand Banking Group Ltd [ANZ]:Mandated Lead arranger, Commonwealth Bank of Australia:Mandated Lead arranger, Intesa Sanpaolo SpA [ISP]:Mandated Lead arranger",Corporate Financial Services (NEC),,Term Loan,01-09-21,31-12-27,--,"257,505,398","396,099,954",Australian Dollar,Project Finance,Asia,Australia,Australia,Project Finance,,Senior,,75,,PLYHF,"Manufacturing\Chemicals and Allied Products\Drugs\Biological Products, Except Diagnostic Substances",Other Financial Vehicles,,,No,--,--,--,,--
WALKER PARRAMATTA SQUARE FINANCE PTY LTD,"Australia & New Zealand Banking Group Ltd [ANZ]:Mandated Lead arranger, Bank SinoPac Offshore Banking Unit:Co-arranger, Bank SinoPac Offshore Banking Unit:Mandated Lead arranger, Bank of China Macau:Arranger, Bank of China Singapore:Arranger, Bank of China Sydney:Mandated Lead arranger, Bank of Communications Sydney:Mandated Lead arranger, Bank of East Asia Singapore:Mandated Lead arranger, Bank of Queensland Ltd:Mandated Lead arranger, Chang Hwa Commercial Bank Offshore Banking Branch:Co-arranger, Chang Hwa Commercial Bank Offshore Banking Branch:Mandated Lead arranger, China Construction Bank Sydney:Mandated Lead arranger, Commonwealth Bank of Australia:Mandated Lead arranger, Credit Agricole Corporate & Investment Bank SA [Credit Agricole CIB]:Mandated Lead arranger, Credit Industriel et Commercial Singapore:Lead arranger, Credit Industriel et Commercial Singapore:Mandated Lead arranger, E Sun Commercial Bank Ltd Sydney Branch:Co-arranger, E Sun Commercial Bank Ltd Sydney Branch:Mandated Lead arranger, HSBC:Mandated Lead arranger, Hua Nan Commercial Bank Sydney Branch:Lead arranger, Hua Nan Commercial Bank Sydney Branch:Mandated Lead arranger, ING Bank (Australia) Ltd:Mandated Lead arranger, Industrial & Commercial Bank of China:Mandated Lead arranger, KEB Hana Bank:Lead arranger, KEB Hana Bank:Mandated Lead arranger, KGI Bank:Co-arranger, KGI Bank:Mandated Lead arranger, Mega International Commercial Bank Co Ltd:Mandated Lead arranger, MetLife Inc:Mandated Lead arranger, Shanghai Commercial & Savings Bank Offshore Banking branch:Co-arranger, Shanghai Commercial & Savings Bank Offshore Banking branch:Mandated Lead arranger, Shinhan Bank Sydney:Co-arranger, Shinhan Bank Sydney:Mandated Lead arranger, Societe Generale SA:Mandated Lead arranger, Taishin International Bank Brisbane:Co-arranger, Taishin International Bank Brisbane:Mandated Lead arranger, Taiwan Cooperative Bank:Co-arranger, Taiwan Cooperative Bank:Mandated Lead arranger, Woori Bank:Co-arranger, Woori Bank:Mandated Lead arranger",Corporate Financial Services (NEC),,Term Loan,02-09-21,02-09-28,--,"345,366,723","531,250,000",Australian Dollar,"Green Loan, Sustainable Finance Loans",Asia,Australia,Australia,Real estate loan,BBSY + 180,Senior,Yes,84,,WALKP,"Services\Engineering, Accounting, Research, Management, and Related Services\Engineering, Architectural, and Surveying Services\Architectural Services",Other Financial Vehicles,,,No,--,--,--,,--
TIEN PHONG COMMERCIAL JOINT STOCK BANK,"Commonwealth Bank of Australia:Mandated Lead arranger, Mizuho Bank Ltd:Lead arranger, National Australia Bank Ltd [NAB]:Mandated Lead arranger",Power & Communications Network Construction,,Revolver/Line >= 1 Yr.,02-09-21,02-09-26,--,"162,525,517","250,000,000",Australian Dollar,M&A,Asia,Australia,Australia,Acquisition,,Senior,No,60,,TPBX,"Finance, Insurance and Real Estate\Depository Institutions\Commercial Banks\Commercial Banks, Not Elsewhere Classified",Power and Communication Line and Related Structures Construction,,,No,--,--,--,,--
WALKER PARRAMATTA SQUARE FINANCE PTY LTD,"Australia & New Zealand Banking Group Ltd [ANZ]:Mandated Lead arranger, Bank SinoPac Offshore Banking Unit:Co-arranger, Bank SinoPac Offshore Banking Unit:Mandated Lead arranger, Bank of China Macau:Arranger, Bank of China Singapore:Arranger, Bank of China Sydney:Mandated Lead arranger, Bank of Communications Sydney:Mandated Lead arranger, Bank of East Asia Singapore:Mandated Lead arranger, Bank of Queensland Ltd:Mandated Lead arranger, Chang Hwa Commercial Bank Offshore Banking Branch:Co-arranger, Chang Hwa Commercial Bank Offshore Banking Branch:Mandated Lead arranger, China Construction Bank Sydney:Mandated Lead arranger, Commonwealth Bank of Australia:Mandated Lead arranger, Credit Agricole Corporate & Investment Bank SA [Credit Agricole CIB]:Mandated Lead arranger, Credit Industriel et Commercial Singapore:Lead arranger, Credit Industriel et Commercial Singapore:Mandated Lead arranger, E Sun Commercial Bank Ltd Sydney Branch:Co-arranger, E Sun Commercial Bank Ltd Sydney Branch:Mandated Lead arranger, HSBC:Mandated Lead arranger, Hua Nan Commercial Bank Sydney Branch:Lead arranger, Hua Nan Commercial Bank Sydney Branch:Mandated Lead arranger, ING Bank (Australia) Ltd:Mandated Lead arranger, Industrial & Commercial Bank of China:Mandated Lead arranger, KEB Hana Bank:Lead arranger, KEB Hana Bank:Mandated Lead arranger, KGI Bank:Co-arranger, KGI Bank:Mandated Lead arranger, Mega International Commercial Bank Co Ltd:Mandated Lead arranger, MetLife Inc:Mandated Lead arranger, Shanghai Commercial & Savings Bank Offshore Banking branch:Co-arranger, Shanghai Commercial & Savings Bank Offshore Banking branch:Mandated Lead arranger, Shinhan Bank Sydney:Co-arranger, Shinhan Bank Sydney:Mandated Lead arranger, Societe Generale SA:Mandated Lead arranger, Taishin International Bank Brisbane:Co-arranger, Taishin International Bank Brisbane:Mandated Lead arranger, Taiwan Cooperative Bank:Co-arranger, Taiwan Cooperative Bank:Mandated Lead arranger, Woori Bank:Co-arranger, Woori Bank:Mandated Lead arranger",Corporate Financial Services (NEC),,Term Loan,02-09-21,02-09-28,--,"226,723,096","348,750,000",Australian Dollar,"Green Loan, Sustainable Finance Loans",Asia,Australia,Australia,Real estate loan,BBSY + 180,Senior,Yes,84,,WALKP,"Services\Engineering, Accounting, Research, Management, and Related Services\Engineering, Architectural, and Surveying Services\Architectural Services",Other Financial Vehicles,,,No,--,--,--,,--
TIEN PHONG COMMERCIAL JOINT STOCK BANK,"Commonwealth Bank of Australia:Mandated Lead arranger, Mizuho Bank Ltd:Lead arranger, National Australia Bank Ltd [NAB]:Mandated Lead arranger",Power & Communications Network Construction,,Revolver/Line >= 1 Yr.,02-09-21,02-09-26,--,"32,505,103","50,000,000",Australian Dollar,M&A,Asia,Australia,Australia,Acquisition,,Senior,No,60,,TPBX,"Finance, Insurance and Real Estate\Depository Institutions\Commercial Banks\Commercial Banks, Not Elsewhere Classified",Power and Communication Line and Related Structures Construction,,,No,--,--,--,,--
ICL FINANCE BV,"BNP Paribas SA:Mandated Lead arranger, Bank of America Securities:Mandated Lead arranger, Mitsubishi UFJ Financial Group Inc:Mandated Lead arranger, Rabobank NV:Mandated Lead arranger, Sumitomo Mitsui Banking Corp:Mandated Lead arranger",Corporate Financial Services (NEC),,Term Loan,03-09-21,03-09-26,--,"260,424,805","250,000,000",Euro,"Sustainability Linked Loans, Sustainable Finance Loans, Investment Grade",EMEA,Netherlands,Netherlands,General Purpose,,Senior,,60,,ICLICF,Manufacturing\Chemicals and Allied Products\Industrial Inorganic Chemicals\Industrial Gases,Other Financial Vehicles,,,No,--,--,--,,--
SB GROUP LTD,"Blackstone Advisory Partners LP:Arranger, HPS Investment Partners LLC:Arranger",Financial & Commodity Market Operators & Service Providers (NEC),,Term Loan B,03-09-21,,--,"416,679,688","400,000,000",Euro,"M&A, Institutional, LBO",EMEA,Cyprus,Cyprus,Leveraged Buyout,,Senior,Yes,--,,SBGUP,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Investment Offices\Management Investment Offices, Open- End",Miscellaneous Financial Investment Activities,,,No,--,--,--,,--
MILLENAIRE FINANCEMENT 17,"BNP Paribas SA:Mandated Lead arranger, Skandinaviska Enskilda Banken AB [SEB]:Mandated Lead arranger",Industrial Equipment Rental,,Term Loan,08-09-21,08-09-28,--,"44,829,157","44,829,157",US Dollar,,EMEA,France,France,Ship finance,,Senior,Yes,84,,MNEFM,"Services\Business Services\Miscellaneous Equipment Rental and Leasing\Equipment Rental and Leasing, Not Elsewhere Classified","Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",,,No,--,--,--,,--
MILLENAIRE FINANCEMENT 17,"BNP Paribas SA:Mandated Lead arranger, Skandinaviska Enskilda Banken AB [SEB]:Mandated Lead arranger",Industrial Equipment Rental,,Term Loan,08-09-21,08-09-28,--,"44,879,750","44,879,750",US Dollar,,EMEA,France,France,Ship finance,,Senior,Yes,84,,MNEFM,"Services\Business Services\Miscellaneous Equipment Rental and Leasing\Equipment Rental and Leasing, Not Elsewhere Classified","Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",,,No,--,--,--,,--
MILLENAIRE FINANCEMENT 17,BNP Paribas SA:Sole lender,Industrial Equipment Rental,,Other Loan,08-09-21,08-09-33,--,"86,239,072","86,239,072",US Dollar,,EMEA,France,France,Ship finance,,Senior,Yes,144,,MNEFM,"Services\Business Services\Miscellaneous Equipment Rental and Leasing\Equipment Rental and Leasing, Not Elsewhere Classified","Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",,,No,--,--,--,,--
PROJECT SATURN FUND V LLC,"KeyBank:Admin agent, Renasant Bank:Participant","Real Estate Rental, Development & Operations (NEC)",,Other Loan,08-09-21,08-09-26,--,"56,200,000","56,200,000",US Dollar,"Sponsored, M&A, Non Investment Grade, Investment Grade",North America,United States,United States,Acquisition,,Senior,,60,,PROAE,"Finance, Insurance and Real Estate\Real Estate\Real Estate Operators (Except Developers) and Lessors\Operators of Nonresidential Buildings",Lessors of Nonresidential Buildings (except Miniwarehouses),,,Yes,--,--,--,,--
MILLENAIRE FINANCEMENT 17,BNP Paribas SA:Sole lender,Industrial Equipment Rental,,Other Loan,08-09-21,08-09-28,--,"30,209,277","29,000,000",Euro,,EMEA,France,France,Ship finance,,Senior,Yes,84,,MNEFM,"Services\Business Services\Miscellaneous Equipment Rental and Leasing\Equipment Rental and Leasing, Not Elsewhere Classified","Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",,,No,--,--,--,,--
HPS INVESTMENT PARTNERS LLC,Capital One NA:Admin agent,Investment Management & Fund Operators (NEC),,Revolver/Line >= 1 Yr.,08-09-21,,--,"60,000,000","60,000,000",US Dollar,Non Investment Grade,North America,United States,United States,General Purpose,,Senior,,--,,HPSGPH,"Finance, Insurance and Real Estate\Security and Commodity Brokers, Dealers, Exchanges, and Services\Services Allied With The Exchange of Securities Or Commodities\Investment Advice",Miscellaneous Intermediation,,,No,--,--,--,,--
MILLENAIRE FINANCEMENT 17,BNP Paribas SA:Sole lender,Industrial Equipment Rental,,Other Loan,08-09-21,08-09-28,--,"30,209,277","29,000,000",Euro,,EMEA,France,France,Ship finance,,Senior,Yes,84,,MNEFM,"Services\Business Services\Miscellaneous Equipment Rental and Leasing\Equipment Rental and Leasing, Not Elsewhere Classified","Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",,,No,--,--,--,,--
MILLENAIRE FINANCEMENT 17,BNP Paribas SA:Sole lender,Industrial Equipment Rental,,Other Loan,08-09-21,08-09-33,--,"86,141,822","86,141,822",US Dollar,,EMEA,France,France,Ship finance,,Senior,Yes,144,,MNEFM,"Services\Business Services\Miscellaneous Equipment Rental and Leasing\Equipment Rental and Leasing, Not Elsewhere Classified","Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",,,No,--,--,--,,--
LIGHTEDGE SOLUTIONS INC,"CIT Bank Ltd:Arranger, CoBank:Arranger, Fifth Third Bank:Admin agent, Regions Bank:Syndication agent, Toronto Dominion Bank:Arranger",Investment Management & Fund Operators (NEC),,Delay Draw Term Loan,09-09-21,09-09-26,--,"32,500,000","32,500,000",US Dollar,"Sponsored, M&A, LBO, U.S. Middle Market, U.S. Large Middle Market, Leveraged, Non Investment Grade",North America,United States,United States,Leveraged Buyout,LIBOR + 375,Senior,,60,,LGHTGL,"Services\Business Services\Computer Programming, Data Processing, and Other Computer Related Services\Computer Processing and Data Preparation and Processing Services",Pharmacy Benefit Management and Other Third Party Administration of Insurance and Pension Funds,,,Yes,--,--,--,,--
LIGHTEDGE SOLUTIONS INC,"CIT Bank Ltd:Arranger, Citizens Bank NA:Participant, CoBank:Arranger, Fifth Third Bank:Admin agent, Regions Bank:Participant, Toronto Dominion Bank:Arranger, UMB Bank NA:Participant, Webster Bank NA:Participant",Investment Management & Fund Operators (NEC),,Term Loan A,09-09-21,09-09-26,--,"92,500,000","92,500,000",US Dollar,"Sponsored, M&A, LBO, U.S. Middle Market, U.S. Large Middle Market, Leveraged, Non Investment Grade",North America,United States,United States,Leveraged Buyout,LIBOR + 375,Senior,,60,,LGHTGL,"Services\Business Services\Computer Programming, Data Processing, and Other Computer Related Services\Computer Processing and Data Preparation and Processing Services",Pharmacy Benefit Management and Other Third Party Administration of Insurance and Pension Funds,,,Yes,--,--,--,,--
GOLDENTREE ASSET MANAGEMENT LP,JP Morgan Chase Bank NA:Admin agent,Investment Management & Fund Operators (NEC),,Revolver/Line >= 1 Yr.,09-09-21,09-09-26,--,"30,000,000","30,000,000",US Dollar,Non Investment Grade,North America,United States,United States,General Purpose,,Senior,,60,,GOEAM,"Finance, Insurance and Real Estate\Security and Commodity Brokers, Dealers, Exchanges, and Services\Services Allied With The Exchange of Securities Or Commodities\Investment Advice",Portfolio Management and Investment Advice,,,No,--,--,--,,--
LIGHTEDGE SOLUTIONS INC,"CIT Bank Ltd:Arranger, CoBank:Arranger, Fifth Third Bank:Admin agent, Regions Bank:Syndication agent, Toronto Dominion Bank:Arranger",Investment Management & Fund Operators (NEC),,Revolver/Line >= 1 Yr.,09-09-21,09-09-26,--,"20,000,000","20,000,000",US Dollar,"Sponsored, M&A, LBO, U.S. Middle Market, U.S. Large Middle Market, Leveraged, Non Investment Grade",North America,United States,United States,Leveraged Buyout,LIBOR + 375,Senior,,60,,LGHTGL,"Services\Business Services\Computer Programming, Data Processing, and Other Computer Related Services\Computer Processing and Data Preparation and Processing Services",Pharmacy Benefit Management and Other Third Party Administration of Insurance and Pension Funds,,,Yes,--,--,--,,--
LIGHTEDGE SOLUTIONS INC,"CIT Bank Ltd:Arranger, Citizens Bank NA:Participant, CoBank:Arranger, Fifth Third Bank:Admin agent, Toronto Dominion Bank:Arranger, UMB Bank NA:Participant, Webster Bank NA:Participant",Investment Management & Fund Operators (NEC),,Delay Draw Term Loan,09-09-21,09-09-26,--,"45,000,000","45,000,000",US Dollar,"Sponsored, M&A, LBO, U.S. Middle Market, U.S. Large Middle Market, Leveraged, Non Investment Grade",North America,United States,United States,Leveraged Buyout,LIBOR + 375,Senior,,60,,LGHTGL,"Services\Business Services\Computer Programming, Data Processing, and Other Computer Related Services\Computer Processing and Data Preparation and Processing Services",Pharmacy Benefit Management and Other Third Party Administration of Insurance and Pension Funds,,,Yes,--,--,--,,--
BOSTON FINANCIAL INSTITUTIONAL TAX CREDITS 55 LP,Capital One NA:Admin agent,Real Estate Services (NEC),,Other Loan,10-09-21,,--,"85,000,000","85,000,000",US Dollar,Non Investment Grade,North America,United States,United States,General Purpose,,Senior,,--,,BOSFI,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Investment Offices\Unit Investment Trusts, Face- Amount certificate Offices, and Closed End Management Investment Offices",Other Activities Related to Real Estate,,,No,--,--,--,,--
LOCHARD ENERGY (IONA FINANCE) PTY LTD,"Australia & New Zealand Banking Group Ltd [ANZ]:Mandated Lead arranger, Bank of China Ltd:Mandated Lead arranger, Bank of Communications Co Ltd:Mandated Lead arranger, Canadian Imperial Bank of Commerce:Mandated Lead arranger, MUFG Bank Ltd:Mandated Lead arranger, National Australia Bank Ltd [NAB]:Mandated Lead arranger, Norinchukin Bank:Mandated Lead arranger, Royal Bank of Canada:Mandated Lead arranger, Societe Generale SA:Mandated Lead arranger, Sumitomo Mitsui Banking Corp:Mandated Lead arranger, Westpac Banking Corp:Mandated Lead arranger",Corporate Financial Services (NEC),,Revolver/Line >= 1 Yr.,10-09-21,10-09-26,--,"32,505,103","50,000,000",Australian Dollar,Project Finance,Asia,Australia,Australia,Project Finance,,Senior,,60,,LORDO,"Transportation, Communications, Electric, Gas, And Sanitary Services\Electric, Gas, and Sanitary Services\Gas Production and Distribution\Natural Gas Transmission and Distribution",Other Financial Vehicles,,,No,--,--,--,,--
LOCHARD ENERGY (IONA FINANCE) PTY LTD,"Australia & New Zealand Banking Group Ltd [ANZ]:Mandated Lead arranger, Bank of China Ltd:Mandated Lead arranger, Bank of Communications Co Ltd:Mandated Lead arranger, Canadian Imperial Bank of Commerce:Mandated Lead arranger, MUFG Bank Ltd:Mandated Lead arranger, National Australia Bank Ltd [NAB]:Mandated Lead arranger, Norinchukin Bank:Mandated Lead arranger, Royal Bank of Canada:Mandated Lead arranger, Societe Generale SA:Mandated Lead arranger, Sumitomo Mitsui Banking Corp:Mandated Lead arranger, Westpac Banking Corp:Mandated Lead arranger",Corporate Financial Services (NEC),,Term Loan,10-09-21,10-09-26,--,"6,501,021","10,000,000",Australian Dollar,Project Finance,Asia,Australia,Australia,Project Finance,,Senior,,60,,LORDO,"Transportation, Communications, Electric, Gas, And Sanitary Services\Electric, Gas, and Sanitary Services\Gas Production and Distribution\Natural Gas Transmission and Distribution",Other Financial Vehicles,,,No,--,--,--,,--
LOCHARD ENERGY (IONA FINANCE) PTY LTD,"Australia & New Zealand Banking Group Ltd [ANZ]:Mandated Lead arranger, Bank of China Ltd:Mandated Lead arranger, Bank of Communications Co Ltd:Mandated Lead arranger, Canadian Imperial Bank of Commerce:Mandated Lead arranger, MUFG Bank Ltd:Mandated Lead arranger, National Australia Bank Ltd [NAB]:Mandated Lead arranger, Norinchukin Bank:Mandated Lead arranger, Royal Bank of Canada:Mandated Lead arranger, Societe Generale SA:Mandated Lead arranger, Sumitomo Mitsui Banking Corp:Mandated Lead arranger, Westpac Banking Corp:Mandated Lead arranger",Corporate Financial Services (NEC),,Term Loan,10-09-21,10-09-28,--,"146,272,965","225,000,000",Australian Dollar,Project Finance,Asia,Australia,Australia,Project Finance,,Senior,,84,,LORDO,"Transportation, Communications, Electric, Gas, And Sanitary Services\Electric, Gas, and Sanitary Services\Gas Production and Distribution\Natural Gas Transmission and Distribution",Other Financial Vehicles,,,No,--,--,--,,--
ANCHORAGE LENDING CA LLC,Provident Bank:Arranger,Investment Management & Fund Operators (NEC),,Term Loan,10-09-21,,--,--,--,,,North America,United States,United States,General Purpose,,Senior,,--,,ANCLSL,"Finance, Insurance and Real Estate\Nondepository Credit Institutions\Personal Credit Institutions\Personal Credit Institutions",Miscellaneous Intermediation,,,No,--,--,--,,--
LOCHARD ENERGY (IONA FINANCE) PTY LTD,"Australia & New Zealand Banking Group Ltd [ANZ]:Mandated Lead arranger, Bank of China Ltd:Mandated Lead arranger, Bank of Communications Co Ltd:Mandated Lead arranger, Canadian Imperial Bank of Commerce:Mandated Lead arranger, MUFG Bank Ltd:Mandated Lead arranger, National Australia Bank Ltd [NAB]:Mandated Lead arranger, Norinchukin Bank:Mandated Lead arranger, Royal Bank of Canada:Mandated Lead arranger, Societe Generale SA:Mandated Lead arranger, Sumitomo Mitsui Banking Corp:Mandated Lead arranger, Westpac Banking Corp:Mandated Lead arranger",Corporate Financial Services (NEC),,Term Loan,10-09-21,10-09-31,--,"269,792,357","415,000,000",Australian Dollar,Project Finance,Asia,Australia,Australia,Project Finance,,Senior,,120,,LORDO,"Transportation, Communications, Electric, Gas, And Sanitary Services\Electric, Gas, and Sanitary Services\Gas Production and Distribution\Natural Gas Transmission and Distribution",Other Financial Vehicles,,,No,--,--,--,,--
