,Bank,In_Strength,Out_Strength,Betweenness,Katz,PageRank
VANTAGE INFRASTRUCTURE,VANTAGE INFRASTRUCTURE,0,109319840,0,0,0.000194254134953484
AUDAX GROUP LP,AUDAX GROUP LP,0,75842759,0,0,0.000194254134953484
BANK VICTORIA INTERNATIONAL TBK PT,BANK VICTORIA INTERNATIONAL TBK PT,0,12602394,0,0,0.000194254134953484
NANYANG COMMERCIAL BANK,NANYANG COMMERCIAL BANK,0,1649982297,0,0,0.000194254134953484
TARGOBANK,TARGOBANK,0,54466066,0,0,0.000194254134953484
NISHI-CHUGOKU SHINKIN BANK,NISHI-CHUGOKU SHINKIN BANK,0,20448233,0,0,0.000194254134953484
YAMAGUCHI BANK,YAMAGUCHI BANK,0,60938821,0,0,0.000194254134953484
DBS BANK CHINA,DBS BANK CHINA,0,60526506,0,0,0.000194254134953484
SPD SILICON VALLEY BANK,SPD SILICON VALLEY BANK,0,121238378,0,0,0.000194254134953484
BANCO DEL ESTADO DE CHILE,BANCO DEL ESTADO DE CHILE,0,56296722,0,0,0.000194254134953484
CHINA CNR,CHINA CNR,0,28148361,0,0,0.000194254134953484
CREDIT EUROPE BANK (SUISSE),CREDIT EUROPE BANK (SUISSE),0,72617458,0,0,0.000194254134953484
DOHA BANK QPSC,DOHA BANK QPSC,912500000,1096003199,1242,0.0612024627615371,0.000537416786751415
ERSTE GROUP BANK,ERSTE GROUP BANK,0,659154956,0,0,0.000194254134953484
INTESA SANPAOLO BANK LUXEMBOURG,INTESA SANPAOLO BANK LUXEMBOURG,0,12962542,0,0,0.000194254134953484
KDB IRELAND DAC,KDB IRELAND DAC,0,90913967,0,0,0.000194254134953484
MAYBANK SINGAPORE,MAYBANK SINGAPORE,0,56296722,0,0,0.000194254134953484
NULL,NULL,0,28148361,0,0,0.000194254134953484
WOORI BANK LONDON,WOORI BANK LONDON,0,56296722,0,0,0.000194254134953484
CONSTRUCTION & BUILDING UNIONS SUPERANNUATION FUND,CONSTRUCTION & BUILDING UNIONS SUPERANNUATION FUND,0,108652078,0,0,0.000194254134953484
JYSKE BANK,JYSKE BANK,0,73954779,0,0,0.000194254134953484
UNION BANK OF TAIWAN,UNION BANK OF TAIWAN,0,204114311,0,0,0.000194254134953484
MANUFACTURERS & TRADERS,MANUFACTURERS & TRADERS,0,405224567,0,0,0.000194254134953484
IBERIABANK,IBERIABANK,0,2.5e+07,0,0,0.000194254134953484
BOFA,BOFA,0,56703347,0,0,0.000194254134953484
IBERCAJA,IBERCAJA,0,155484072,0,0,0.000194254134953484
LABORAL KUTXA,LABORAL KUTXA,0,14885126,0,0,0.000194254134953484
MUZINICH &,MUZINICH &,0,8745647,0,0,0.000194254134953484
BRIGHTHOUSE LIFE INSURANCE,BRIGHTHOUSE LIFE INSURANCE,0,36699085,0,0,0.000194254134953484
METLIFE INSURANCE KK,METLIFE INSURANCE KK,0,36699085,0,0,0.000194254134953484
METROPOLITAN LIFE INSURANCE,METROPOLITAN LIFE INSURANCE,0,36699085,0,0,0.000194254134953484
METROPOLITAN TOWER LIFE INSURANCE COMPANY,METROPOLITAN TOWER LIFE INSURANCE COMPANY,0,36699085,0,0,0.000194254134953484
PENSIONSKASSE DES BUNDES PUBLICA,PENSIONSKASSE DES BUNDES PUBLICA,0,36699085,0,0,0.000194254134953484
BANQUE POPULAIRE MEDITERRANNEE,BANQUE POPULAIRE MEDITERRANNEE,0,2662556,0,0,0.000194254134953484
NEVADA STATE BANK,NEVADA STATE BANK,0,154914467,0,0,0.000194254134953484
NATIONALE-NEDERLANDEN NEDERLAND BV,NATIONALE-NEDERLANDEN NEDERLAND BV,0,59726207,0,0,0.000194254134953484
SVENSKA HANDELSBANKEN AB (PUBL),SVENSKA HANDELSBANKEN AB (PUBL),0,528734399,0,0,0.000194254134953484
DIE SPARKASSE BREMEN,DIE SPARKASSE BREMEN,0,26042480,0,0,0.000194254134953484
INDUSTRIAL BANK OF KOREA,INDUSTRIAL BANK OF KOREA,8e+08,562221187,1845,0,0.000784495334805164
HANDELSBANKEN CAPITAL MARKETS,HANDELSBANKEN CAPITAL MARKETS,0,339896787,0,0,0.000194254134953484
SWEDBANK AB (PUBL),SWEDBANK AB (PUBL),0,300003016,0,0,0.000194254134953484
CLIFFORD CAPITAL,CLIFFORD CAPITAL,0,161028090,0,0,0.000194254134953484
BANK ISLAM BRUNEI DARUSSALAM BERHAD,BANK ISLAM BRUNEI DARUSSALAM BERHAD,0,254470588,0,0,0.000194254134953484
ATB FINANCIAL,ATB FINANCIAL,0,471108636,0,0,0.000194254134953484
PGIM,PGIM,0,74402481,0,0,0.000194254134953484
MASHREQBANK PSC,MASHREQBANK PSC,0,2597893353,0,0,0.000194254134953484
NEDBANK LONDON,NEDBANK LONDON,0,107504000,0,0,0.000194254134953484
ARVEST BANK,ARVEST BANK,0,454102564,0,0,0.000194254134953484
FIRST BANK,FIRST BANK,0,290128514,0,0,0.000194254134953484
OLD SECOND BANK,OLD SECOND BANK,0,45150000,0,0,0.000194254134953484
BAC FLORIDA BANK,BAC FLORIDA BANK,0,6259777,0,0,0.000194254134953484
BANCARIBE CURACAO BANK,BANCARIBE CURACAO BANK,0,15324868,0,0,0.000194254134953484
BANCARIBE INTERNATIONAL BANK,BANCARIBE INTERNATIONAL BANK,0,23658201,0,0,0.000194254134953484
BANCO CONTINENTAL SAECA,BANCO CONTINENTAL SAECA,0,44772019,0,0,0.000194254134953484
BANCO DE OCCIDENTE,BANCO DE OCCIDENTE,0,20545491,0,0,0.000194254134953484
BANCO FINANTIA,BANCO FINANTIA,0,64824868,0,0,0.000194254134953484
BHD INTERNATIONAL BANK PANAMA,BHD INTERNATIONAL BANK PANAMA,0,32974063,0,0,0.000194254134953484
BLADEX,BLADEX,0,56390556,0,0,0.000194254134953484
POPULAR BANK,POPULAR BANK,0,20259777,0,0,0.000194254134953484
PT BANK MANDIRI PERSERO,PT BANK MANDIRI PERSERO,0,108929703,0,0,0.000194254134953484
PT BANK NEGARA INDONESIA (PERSERO) TBK,PT BANK NEGARA INDONESIA (PERSERO) TBK,0,142994020,0,0,0.000194254134953484
PT BANK RAKYAT INDONESIA (PERSERO),PT BANK RAKYAT INDONESIA (PERSERO),0,74039068,0,0,0.000194254134953484
PT BANK TABUNGAN NEGARA (PERSERO),PT BANK TABUNGAN NEGARA (PERSERO),0,84945211,0,0,0.000194254134953484
BANK MUSCAT SAOG,BANK MUSCAT SAOG,664029712,324303772,1053,0.0175049686261529,0.000632793812592207
CANARA BANK LONDON,CANARA BANK LONDON,0,70383523,0,0,0.000194254134953484
LAND BANK OF TAIWAN HONG KONG,LAND BANK OF TAIWAN HONG KONG,0,101481865,0,0,0.000194254134953484
ARAB INVESTMENT COMPANY,ARAB INVESTMENT COMPANY,0,16666667,0,0,0.000194254134953484
BANK OF CAIRO SAE,BANK OF CAIRO SAE,0,39047709,0,0,0.000194254134953484
COMMERCIAL BANK PSQC,COMMERCIAL BANK PSQC,2350000007,251945895,1356,0.0117300747890494,0.000675575269731103
GULF BANK OF KUWAIT KSC,GULF BANK OF KUWAIT KSC,0,398545134,0,0,0.000194254134953484
NATIONAL BANK OF RAS AL-KHAIMAH,NATIONAL BANK OF RAS AL-KHAIMAH,0,1084612292,0,0,0.000194254134953484
KDB BANK EUROPE,KDB BANK EUROPE,0,24690431,0,0,0.000194254134953484
HEST AUSTRALIA,HEST AUSTRALIA,0,38839967,0,0,0.000194254134953484
INTERNATIONAL MONETARY FUND,INTERNATIONAL MONETARY FUND,0,8366433,0,0,0.000194254134953484
INDEPENDENT BANK (TIB),INDEPENDENT BANK (TIB),0,39226668,0,0,0.000194254134953484
WEST TEXAS NATIONAL BANK,WEST TEXAS NATIONAL BANK,0,44821545,0,0,0.000194254134953484
EMPLOYERS REASSURANCE,EMPLOYERS REASSURANCE,0,95414603,0,0,0.000194254134953484
WILTON RE,WILTON RE,0,95414603,0,0,0.000194254134953484
FIDELITY BANK,FIDELITY BANK,0,54333333,0,0,0.000194254134953484
FIRST BANK OF HIGHLAND PARK,FIRST BANK OF HIGHLAND PARK,0,125984496,0,0,0.000194254134953484
MUSASHINO BANK,MUSASHINO BANK,0,13627834,0,0,0.000194254134953484
NEW MOUNTAIN GUARDIAN III BDC,NEW MOUNTAIN GUARDIAN III BDC,0,86072580,0,0,0.000194254134953484
NMF SLF I SPV,NMF SLF I SPV,0,86072580,0,0,0.000194254134953484
SHELTER ROCK II SPV LP,SHELTER ROCK II SPV LP,0,86072580,0,0,0.000194254134953484
STONE POINT CREDIT,STONE POINT CREDIT,0,86072580,0,0,0.000194254134953484
KEB HANA BANK HONG KONG,KEB HANA BANK HONG KONG,0,39951419,0,0,0.000194254134953484
WISCONSIN BANK &,WISCONSIN BANK &,0,22350000,0,0,0.000194254134953484
JIANGSU RUDONG RURAL COMMERCIAL BANK,JIANGSU RUDONG RURAL COMMERCIAL BANK,0,26110551,0,0,0.000194254134953484
CATHAY UNITED BANK HONG KONG,CATHAY UNITED BANK HONG KONG,0,94940454,0,0,0.000194254134953484
OCBC WING HANG,OCBC WING HANG,0,41400842,0,0,0.000194254134953484
METRICS CAPITAL PARTNERS,METRICS CAPITAL PARTNERS,0,18594306,0,0,0.000194254134953484
BANK OF KUNLUN,BANK OF KUNLUN,0,462355945,0,0,0.000194254134953484
BEIJING RURAL COMMERCIAL BANK,BEIJING RURAL COMMERCIAL BANK,0,572079221,0,0,0.000194254134953484
HUISHANG BANK,HUISHANG BANK,0,589525554,0,0,0.000194254134953484
BANK OF EAST ASIA (CHINA),BANK OF EAST ASIA (CHINA),0,166184647,0,0,0.000194254134953484
BANK SINOPAC (CHINA),BANK SINOPAC (CHINA),0,75609097,0,0,0.000194254134953484
XIAMEN BANK,XIAMEN BANK,0,82154885,0,0,0.000194254134953484
AL KHALIJI FRANCE,AL KHALIJI FRANCE,0,41666667,0,0,0.000194254134953484
NATIONAL BANK OF EGYPT (UK),NATIONAL BANK OF EGYPT (UK),0,41666667,0,0,0.000194254134953484
SALEM FIVE CENTS SAVINGS BANK,SALEM FIVE CENTS SAVINGS BANK,0,21500000,0,0,0.000194254134953484
RESPONSABILITY INVESTMENTS,RESPONSABILITY INVESTMENTS,0,1e+07,0,0,0.000194254134953484
SPAREBANK 1 SR BANK ASA,SPAREBANK 1 SR BANK ASA,0,145020726,0,0,0.000194254134953484
RAYMOND JAMES BANK FSB,RAYMOND JAMES BANK FSB,0,31250000,0,0,0.000194254134953484
BANK LEUMI USA,BANK LEUMI USA,0,3e+07,0,0,0.000194254134953484
BYLINE BANK,BYLINE BANK,0,3e+07,0,0,0.000194254134953484
STANLIB ASSET MANAGEMENT (PTY),STANLIB ASSET MANAGEMENT (PTY),0,11508857,0,0,0.000194254134953484
CAISSE CENTRALE DESJARDINS,CAISSE CENTRALE DESJARDINS,0,465362606,0,0,0.000194254134953484
APOGEM CAPITAL,APOGEM CAPITAL,0,594980348,0,0,0.000194254134953484
CHURCHILL ASSET MANAGEMENT,CHURCHILL ASSET MANAGEMENT,0,138062470,0,0,0.000194254134953484
MAN VARAGON,MAN VARAGON,0,188732988,0,0,0.000194254134953484
CHINA GUANGFA BANK,CHINA GUANGFA BANK,0,702764432,0,0,0.000194254134953484
FIRST FINANCIAL BANK,FIRST FINANCIAL BANK,0,405686533,0,0,0.000194254134953484
ARAB INVESTMENT SAA,ARAB INVESTMENT SAA,0,2e+07,0,0,0.000194254134953484
NATIONAL BANK OF BAHRAIN,NATIONAL BANK OF BAHRAIN,0,164425367,0,0,0.000194254134953484
NATIONAL BANK OF UMM AL-QAIWAIN PSC,NATIONAL BANK OF UMM AL-QAIWAIN PSC,0,157027084,0,0,0.000194254134953484
APPLE BANK FOR SAVINGS,APPLE BANK FOR SAVINGS,0,1135539911,0,0,0.000194254134953484
BANCO DE BOGOTA,BANCO DE BOGOTA,0,21339722,0,0,0.000194254134953484
KOREA EXPORT IMPORT BANK,KOREA EXPORT IMPORT BANK,0,121545101,0,0,0.000194254134953484
BANCO DO BRASIL,BANCO DO BRASIL,0,25056209,0,0,0.000194254134953484
CHINA BOHAI BANK,CHINA BOHAI BANK,0,292283129,0,0,0.000194254134953484
COMMERZBANK SINGAPORE,COMMERZBANK SINGAPORE,0,232492883,0,0,0.000194254134953484
INDUSTRIAL BANK SHANGHAI,INDUSTRIAL BANK SHANGHAI,0,61838257,0,0,0.000194254134953484
BANCO TAI FUNG,BANCO TAI FUNG,0,20489980,0,0,0.000194254134953484
BCP BANK (MAURITIUS),BCP BANK (MAURITIUS),0,78198679,0,0,0.000194254134953484
SHANGHAI RURAL COMMERCIAL BANK,SHANGHAI RURAL COMMERCIAL BANK,0,339170712,0,0,0.000194254134953484
BANCO NACIONAL ULTRAMARINO,BANCO NACIONAL ULTRAMARINO,0,121142519,0,0,0.000194254134953484
EVERTRUST BANK,EVERTRUST BANK,0,8684667,0,0,0.000194254134953484
INDUSTRIAL BANK OF KOREA HONGKONG,INDUSTRIAL BANK OF KOREA HONGKONG,0,121952040,0,0,0.000194254134953484
SOUTH STATE BANK,SOUTH STATE BANK,0,69720271,0,0,0.000194254134953484
CAMBRIDGE SAVINGS BANK,CAMBRIDGE SAVINGS BANK,0,70472496,0,0,0.000194254134953484
FLAGSTAR BANK,FLAGSTAR BANK,0,485545556,0,0,0.000194254134953484
FEDERATION DES CAISSES DESJARDINS DU QUEBEC,FEDERATION DES CAISSES DESJARDINS DU QUEBEC,0,1660468587,0,0,0.000194254134953484
MERIDIAN BANK,MERIDIAN BANK,0,75442083,0,0,0.000194254134953484
JUROKU BANK,JUROKU BANK,0,32544692,0,0,0.000194254134953484
CALIFORNIA BANK &,CALIFORNIA BANK &,0,257028195,0,0,0.000194254134953484
HWATAI BANK,HWATAI BANK,0,23156313,0,0,0.000194254134953484
AKBANK TAS,AKBANK TAS,587883696,226025487,0,0.0203105180575412,0.000551771906846691
ANADOLUBANK AS,ANADOLUBANK AS,0,151212543,0,0,0.000194254134953484
DENIZBANK AS,DENIZBANK AS,2171836060,217988134,2402,0.0639798768242245,0.0018607780500888
QNB FINANSBANK AS,QNB FINANSBANK AS,0,151212543,0,0,0.000194254134953484
TURKIYE CUMHURIYETI ZIRAAT BANKASI AS,TURKIYE CUMHURIYETI ZIRAAT BANKASI AS,3982259963,151212543,6,0.0428032151971525,0.00232410183411588
TURKIYE HALK BANKASI AS,TURKIYE HALK BANKASI AS,0,151212543,0,0,0.000194254134953484
TURKIYE IS BANKASI AS,TURKIYE IS BANKASI AS,2148302542,158491690,18,0.0511060268153461,0.00169867136649751
TURKIYE SINAI KALKINMA BANKASI AS,TURKIYE SINAI KALKINMA BANKASI AS,403708386,69634570,70,0.014810803423195,0.000301409992389176
TURKIYE VAKIFLAR BANKASI TAO,TURKIYE VAKIFLAR BANKASI TAO,0,158491690,0,0,0.000194254134953484
YAPI VE KREDI BANKASI AS,YAPI VE KREDI BANKASI AS,943036488,158491690,51,0.030718343575943,0.000886855148651182
GROUPE CAISSE D'EPARGNE,GROUPE CAISSE D'EPARGNE,0,197277,0,0,0.000194254134953484
SOCIETE FINANCIERE DE LA NEF,SOCIETE FINANCIERE DE LA NEF,0,197277,0,0,0.000194254134953484
FIRST SENTIER INVESTORS (AUSTRALIA) RE,FIRST SENTIER INVESTORS (AUSTRALIA) RE,0,73136482,0,0,0.000194254134953484
SYDBANK,SYDBANK,0,64915138,0,0,0.000194254134953484
CREDIT INDUSTRIAL ET COMMERCIAL,CREDIT INDUSTRIAL ET COMMERCIAL,0,217174831,0,0,0.000194254134953484
MIANYANG RURAL COMMERCIAL BANK,MIANYANG RURAL COMMERCIAL BANK,0,29635477,0,0,0.000194254134953484
CIMB BANK BHD,CIMB BANK BHD,7.35e+08,341639565,49,0,0.000524774996533334
CAJAMAR CAJA RURAL SOCIEDAD COOPERATIVA DE CREDITO,CAJAMAR CAJA RURAL SOCIEDAD COOPERATIVA DE CREDITO,0,52084961,0,0,0.000194254134953484
LA FUNDACION BANCARIA IBERCAJA,LA FUNDACION BANCARIA IBERCAJA,0,52084961,0,0,0.000194254134953484
UNICAJA BANCO,UNICAJA BANCO,0,120644774,0,0,0.000194254134953484
DESJARDINS CAPITAL MARKETS,DESJARDINS CAPITAL MARKETS,0,723827417,0,0,0.000194254134953484
CHINA EVERBRIGHT BANK HONG KONG,CHINA EVERBRIGHT BANK HONG KONG,0,447051830,0,0,0.000194254134953484
CTBC BANK PHILIPPINES,CTBC BANK PHILIPPINES,0,65540967,0,0,0.000194254134953484
CIT GROUP,CIT GROUP,0,84377440,0,0,0.000194254134953484
OLD NATIONAL BANK,OLD NATIONAL BANK,0,364748771,0,0,0.000194254134953484
BREMER BANK,BREMER BANK,0,110901515,0,0,0.000194254134953484
CAISSE D'EPARGNE ET DE PREVOYANCE DE NORMANDIE,CAISSE D'EPARGNE ET DE PREVOYANCE DE NORMANDIE,0,63999576,0,0,0.000194254134953484
MASHREQ BANK,MASHREQ BANK,0,144585299,0,0,0.000194254134953484
WOORI BANK SINGAPORE,WOORI BANK SINGAPORE,0,31346154,0,0,0.000194254134953484
BANQUE POPULAIRE ALSACE LORRAINE CHAMPAGNE,BANQUE POPULAIRE ALSACE LORRAINE CHAMPAGNE,0,16272055,0,0,0.000194254134953484
BANCA CASSA DI RISPARMIO SAVIGLIANO SPA,BANCA CASSA DI RISPARMIO SAVIGLIANO SPA,0,15810253,0,0,0.000194254134953484
BANCA DI CREDITO COOPERATIVO DI MILANO SC,BANCA DI CREDITO COOPERATIVO DI MILANO SC,0,7280746,0,0,0.000194254134953484
BANCA GALILEO SPA,BANCA GALILEO SPA,0,7280746,0,0,0.000194254134953484
BANCA POPOLARE DI BARI,BANCA POPOLARE DI BARI,0,54157211,0,0,0.000194254134953484
BANCA SANTA GIULIA SPA,BANCA SANTA GIULIA SPA,0,15810253,0,0,0.000194254134953484
BANCO DI DESIO E DELLA BRIANZA,BANCO DI DESIO E DELLA BRIANZA,0,7280746,0,0,0.000194254134953484
CASSA DI RISPARMIO DI ASTI,CASSA DI RISPARMIO DI ASTI,0,15810253,0,0,0.000194254134953484
KOREA INVESTMENT &,KOREA INVESTMENT &,0,206155477,0,0,0.000194254134953484
KOREA INVESTMENT & ASIA,KOREA INVESTMENT & ASIA,0,206155477,0,0,0.000194254134953484
INTESA SANPAOLO SPA HONG KONG,INTESA SANPAOLO SPA HONG KONG,0,88721805,0,0,0.000194254134953484
SGBT FINANCE IRELAND,SGBT FINANCE IRELAND,0,86808268,0,0,0.000194254134953484
UNICREDIT BANK AUSTRIA,UNICREDIT BANK AUSTRIA,0,86808268,0,0,0.000194254134953484
HPS INVESTMENT PARTNERS,HPS INVESTMENT PARTNERS,474990001,1440825431,289,0.0273642360526422,0.000203039889362919
INFRASTRUCTURE CAPITAL GROUP,INFRASTRUCTURE CAPITAL GROUP,0,65551958,0,0,0.000194254134953484
BANK NEGARA INDONESIA SINGAPORE,BANK NEGARA INDONESIA SINGAPORE,0,34482759,0,0,0.000194254134953484
BANQUE INTERNATIONALE DE COMMERCE,BANQUE INTERNATIONALE DE COMMERCE,0,49283873,0,0,0.000194254134953484
TAICHUNG COMMERCIAL BANK OFFSHORE,TAICHUNG COMMERCIAL BANK OFFSHORE,0,186237922,0,0,0.000194254134953484
UCO BANK HONGKONG,UCO BANK HONGKONG,0,34482759,0,0,0.000194254134953484
BAR HARBOR BANK &,BAR HARBOR BANK &,0,153260766,0,0,0.000194254134953484
PINNACLE FINANCIAL PARTNERS,PINNACLE FINANCIAL PARTNERS,0,2.5e+07,0,0,0.000194254134953484
QATAR NATIONAL BANK SINGAPORE,QATAR NATIONAL BANK SINGAPORE,0,45807953,0,0,0.000194254134953484
TIAA BANK,TIAA BANK,0,166666667,0,0,0.000194254134953484
HENG FENG BANK,HENG FENG BANK,0,287866615,0,0,0.000194254134953484
THIRD COAST BANK SSB,THIRD COAST BANK SSB,0,46666666,0,0,0.000194254134953484
MVB BANK,MVB BANK,0,98401067,0,0,0.000194254134953484
VALLEY NATIONAL BANK,VALLEY NATIONAL BANK,0,457595065,0,0,0.000194254134953484
UCO BANK SINGAPORE,UCO BANK SINGAPORE,0,117059916,0,0,0.000194254134953484
ST GEORGE BANK,ST GEORGE BANK,0,57394827,0,0,0.000194254134953484
TRUIST BANK,TRUIST BANK,0,999938356,0,0,0.000194254134953484
KEXIM ASIA,KEXIM ASIA,2e+08,159051552,294,0,0.000202941104947538
BANK OF TAIWAN TOKYO,BANK OF TAIWAN TOKYO,0,148882924,0,0,0.000194254134953484
BANK OF YOKOHAMA SINGAPORE,BANK OF YOKOHAMA SINGAPORE,0,206850722,0,0,0.000194254134953484
CHANG HWA COMMERCIAL BANK TOKYO,CHANG HWA COMMERCIAL BANK TOKYO,0,54044672,0,0,0.000194254134953484
NTT TC LEASING,NTT TC LEASING,0,119074861,0,0,0.000194254134953484
US INTERNATIONAL DEVELOPMENT FINANCE,US INTERNATIONAL DEVELOPMENT FINANCE,0,7.6e+08,0,0,0.000194254134953484
HELIA CONSEIL,HELIA CONSEIL,0,2430631,0,0,0.000194254134953484
PT BANK CENTRAL ASIA TBK,PT BANK CENTRAL ASIA TBK,0,81505986,0,0,0.000194254134953484
INDEPENDENT BANK,INDEPENDENT BANK,0,260769231,0,0,0.000194254134953484
ZIONS FIRST NATIONAL BANK,ZIONS FIRST NATIONAL BANK,0,230769231,0,0,0.000194254134953484
FIRST NATIONAL BANK OF PENNSYLVANIA,FIRST NATIONAL BANK OF PENNSYLVANIA,0,291904956,0,0,0.000194254134953484
HANMI BANK,HANMI BANK,0,75250000,0,0,0.000194254134953484
JIANGNAN RURAL COMMERCIAL BANK,JIANGNAN RURAL COMMERCIAL BANK,0,65276381,0,0,0.000194254134953484
BRED BANK,BRED BANK,0,9168383,0,0,0.000194254134953484
DEUTSCHE KREDITBANK,DEUTSCHE KREDITBANK,0,10127489,0,0,0.000194254134953484
BOOKOOK,BOOKOOK,0,128302357,0,0,0.000194254134953484
BANK OF CHENGDU,BANK OF CHENGDU,0,15231156,0,0,0.000194254134953484
OP CORPORATE BANK,OP CORPORATE BANK,0,186429593,0,0,0.000194254134953484
FUYO GENERAL LEASE (ASIA) PTE,FUYO GENERAL LEASE (ASIA) PTE,0,11497997,0,0,0.000194254134953484
METROPOLITAN BANK &,METROPOLITAN BANK &,0,141660665,0,0,0.000194254134953484
KUWAIT FINANCE HOUSE KSC,KUWAIT FINANCE HOUSE KSC,0,691433840,0,0,0.000194254134953484
KUWAIT INTERNATIONAL BANK KSC,KUWAIT INTERNATIONAL BANK KSC,0,364470588,0,0,0.000194254134953484
SAUDI BRITISH BANK JSC,SAUDI BRITISH BANK JSC,0,272726571,0,0,0.000194254134953484
WARBA BANK KSCP,WARBA BANK KSCP,1.5e+08,196250000,18,0.0424655958919173,0.00022514872225794
NORTHRIM BANK,NORTHRIM BANK,0,87500000,0,0,0.000194254134953484
CATERPILLAR FINANCIAL AUSTRALIA,CATERPILLAR FINANCIAL AUSTRALIA,0,30473534,0,0,0.000194254134953484
MAURITIUS COMMERCIAL BANK,MAURITIUS COMMERCIAL BANK,1200000007,427901137,1081,0.0581454702563079,0.00105227499828845
TAICHUNG COMMERCIAL BANK LABUAN,TAICHUNG COMMERCIAL BANK LABUAN,0,231203504,0,0,0.000194254134953484
RHB BANK (L),RHB BANK (L),0,30907055,0,0,0.000194254134953484
KRUNG THAI BANK PUBLIC,KRUNG THAI BANK PUBLIC,0,49319654,0,0,0.000194254134953484
CHINA ZHESHANG BANK,CHINA ZHESHANG BANK,0,383937903,0,0,0.000194254134953484
QINGDAO RURAL COMMERCIAL BANK,QINGDAO RURAL COMMERCIAL BANK,0,28721608,0,0,0.000194254134953484
ERSTE BANK,ERSTE BANK,0,185382082,0,0,0.000194254134953484
FIRST CITIZENS BANK &,FIRST CITIZENS BANK &,0,392454079,0,0,0.000194254134953484
PT BANK BUKOPIN TBK,PT BANK BUKOPIN TBK,0,20437500,0,0,0.000194254134953484
PT BANK CIMB NIAGA TBK,PT BANK CIMB NIAGA TBK,0,63343643,0,0,0.000194254134953484
PT BANK KEB HANA INDONESIA,PT BANK KEB HANA INDONESIA,0,184131342,0,0,0.000194254134953484
PT BANK MANDIRI PERSERO TBK SINGAPORE,PT BANK MANDIRI PERSERO TBK SINGAPORE,0,56020833,0,0,0.000194254134953484
CREDIT COOPERATIF,CREDIT COOPERATIF,0,17914868,0,0,0.000194254134953484
LOTTE FINANCIAL,LOTTE FINANCIAL,19387359,6652309,83,0,0.000211431668932128
NOMURA CAPITAL INVESTMENT,NOMURA CAPITAL INVESTMENT,0,14445592,0,0,0.000194254134953484
GENERALI REAL ESTATE SGR SPA,GENERALI REAL ESTATE SGR SPA,0,77901824,0,0,0.000194254134953484
BANCO CONTINENTAL,BANCO CONTINENTAL,0,36619047,0,0,0.000194254134953484
BRADESCO,BRADESCO,0,93308117,0,0,0.000194254134953484
INTERNATIONAL COMMERCIAL BANK,INTERNATIONAL COMMERCIAL BANK,0,1.4e+07,0,0,0.000194254134953484
NIBC BANK,NIBC BANK,0,198001668,0,0,0.000194254134953484
BANCA DEL MEZZOGIORNO MEDIOCREDITO CENTRALE SPA,BANCA DEL MEZZOGIORNO MEDIOCREDITO CENTRALE SPA,0,46876465,0,0,0.000194254134953484
BANCA POPOLARE DI PUGLIA E BASILICATA,BANCA POPOLARE DI PUGLIA E BASILICATA,0,46876465,0,0,0.000194254134953484
KEXIM BANK (UK),KEXIM BANK (UK),0,53333333,0,0,0.000194254134953484
CATHAY UNITED BANK SINGAPORE,CATHAY UNITED BANK SINGAPORE,0,8333333,0,0,0.000194254134953484
KOOKMIN BANK HONG KONG,KOOKMIN BANK HONG KONG,0,8333333,0,0,0.000194254134953484
SHANGHAI COMMERCIAL & SAVINGS BANK SINGAPORE,SHANGHAI COMMERCIAL & SAVINGS BANK SINGAPORE,0,25682664,0,0,0.000194254134953484
SHIN KONG COMMERCIAL BANK HONG KONG,SHIN KONG COMMERCIAL BANK HONG KONG,0,104576007,0,0,0.000194254134953484
HANG SENG BANK (CHINA),HANG SENG BANK (CHINA),0,59845619,0,0,0.000194254134953484
CHINA BILLS FINANCE,CHINA BILLS FINANCE,0,69145250,0,0,0.000194254134953484
INTERNATIONAL BILLS FINANCE,INTERNATIONAL BILLS FINANCE,0,48955697,0,0,0.000194254134953484
MEGA BILLS FINANCE,MEGA BILLS FINANCE,0,91524645,0,0,0.000194254134953484
TA CHING BILL FINANCE,TA CHING BILL FINANCE,0,13718947,0,0,0.000194254134953484
TAIWAN COOPERATIVE BILLS FINANCE,TAIWAN COOPERATIVE BILLS FINANCE,0,41184256,0,0,0.000194254134953484
AMERICAN NATIONAL BANK OF TEXAS,AMERICAN NATIONAL BANK OF TEXAS,0,29952083,0,0,0.000194254134953484
WASHINGTON FEDERAL SAVINGS BANK,WASHINGTON FEDERAL SAVINGS BANK,0,29952083,0,0,0.000194254134953484
METROBANK,METROBANK,0,11290517,0,0,0.000194254134953484
VALLEY BANK &,VALLEY BANK &,0,139422541,0,0,0.000194254134953484
DEUTSCHE POSTBANK,DEUTSCHE POSTBANK,0,30720370,0,0,0.000194254134953484
CHUKYO BANK,CHUKYO BANK,0,9169446,0,0,0.000194254134953484
JUHACHI-SHINWA BANK,JUHACHI-SHINWA BANK,0,13483448,0,0,0.000194254134953484
OGAKI KYORITSU BANK,OGAKI KYORITSU BANK,0,13483448,0,0,0.000194254134953484
PT BANK RAKYAT INDONESIA (PERSERO) SINGAPORE,PT BANK RAKYAT INDONESIA (PERSERO) SINGAPORE,0,5583333,0,0,0.000194254134953484
BANK OF PHILIPPINE ISLANDS,BANK OF PHILIPPINE ISLANDS,0,40906143,0,0,0.000194254134953484
